question,correct
"雪の大谷や立山黒部アルペンルートで有名な地域。","富山県"
"ねぶた祭りや津軽三味線の響きが楽しめる場所。","青森県"
"日本一の生産量を誇るお米の産地。","新潟県"
"美しい松島の景色と名物の牛タンが楽しめる地。","宮城県"
"きりたんぽ鍋と男鹿のなまはげが有名な地域。","秋田県"
"さくらんぼの名産地で、蔵王の樹氷が魅力的な場所。","山形県"
"歴史ある城と喜多方ラーメンが自慢の地域。","福島県"
"納豆と梅の名所がある風光明媚な地。","茨城県"
"日光東照宮と餃子が有名な観光地。","栃木県"
"温泉とこんにゃくの名産地、山々に囲まれた地域。","群馬県"
"小江戸の風情と狭山茶が楽しめる場所。","埼玉県"
"成田山新勝寺と九十九里浜の美しい海岸線。","千葉県"
"日本の首都で、皇居や東京タワーがある場所。","東京都"
"富士山や箱根、鎌倉の古都が魅力的な地域。","神奈川県"
"横浜中華街とみなとみらいの夜景が楽しめる地。","神奈川県"
"上杉謙信の歴史と雪国文化が息づく地域。","新潟県"
"黒部ダムと立山連峰の壮大な自然が魅力。","富山県"
"加賀友禅や金沢城、兼六園がある文化的な地。","石川県"
"東尋坊の断崖絶壁と越前ガニの名産地。","福井県"
"富士山の美しい眺めと静岡茶が自慢の地域。","静岡県"
"名古屋城と味噌カツ、きしめんが名物の地。","愛知県"
"伊勢神宮とF1日本グランプリの開催地。","三重県"
"琵琶湖と近江牛、彦根城がある風光明媚な地域。","滋賀県"
"金閣寺や清水寺など、寺社仏閣が豊富な場所。","京都府"
"大阪城と粉もの文化、たこ焼きの発祥地。","大阪府"
"姫路城と神戸牛、有馬温泉が楽しめる地域。","兵庫県"
"奈良の大仏と鹿が集まる公園がある古都。","奈良県"
"熊野古道と梅干し、マグロの名産地。","和歌山県"
"鳥取砂丘とカニ、二十世紀梨が特産の地。","鳥取県"
"出雲大社と宍道湖の美しい夕日が楽しめる地域。","島根県"
"桃太郎伝説と後楽園、瀬戸大橋が魅力の地。","岡山県"
"厳島神社と原爆ドームがある平和の象徴。","広島県"
"秋吉台と角島大橋、フグの名産地。","山口県"
"大塚国際美術館と鳴門の渦潮が楽しめる地域。","徳島県"
"金刀比羅宮とうどん、オリーブの名産地。","香川県"
"道後温泉と正岡子規、みかんの産地。","愛媛県"
"桂浜と坂本龍馬、カツオのたたきが名物の地。","高知県"
"太宰府天満宮と博多ラーメンの発祥地。","福岡県"
"吉野ヶ里遺跡と有田焼の特産地。","佐賀県"
"長崎港と平和公園、ちゃんぽんが名物の地。","長崎県"
"阿蘇山と熊本城、くまモンが有名な地域。","熊本県"
"別府温泉と高崎山のサル、関あじ・関さばが名産。","大分県"
"霧島山と桜島、焼酎の本場。","鹿児島県"
"首里城と美しいビーチ、シーサーが名物の地域。","沖縄県"
"美ら海水族館とゴーヤーチャンプルーの名産地。","沖縄県"
"日本一の山脈と甲府盆地のぶどうの産地。","山梨県"
"上高地と松本城、そばの名産地。","長野県"
